ENSG00000234769	ENST00000326592	16	-1	64043	69448	WASH4P	protein_coding
ENSG00000161980	ENST00000293860	16	-1	96407	103628	POLR3K	protein_coding
ENSG00000161981	ENST00000383018	16	1	103829	107668	SNRNP25	protein_coding
ENSG00000161981	ENST00000417493	16	1	103899	106613	SNRNP25	protein_coding
ENSG00000007384	ENST00000262316	16	-1	108058	122629	RHBDF1	protein_coding
ENSG00000007384	ENST00000448893	16	-1	108136	109760	RHBDF1	protein_coding
ENSG00000007384	ENST00000454039	16	-1	111031	126351	RHBDF1	protein_coding
ENSG00000007384	ENST00000450643	16	-1	113155	126354	RHBDF1	protein_coding
ENSG00000007384	ENST00000419764	16	-1	113741	115037	RHBDF1	protein_coding
ENSG00000103152	ENST00000436333	16	1	127006	135683	MPG	protein_coding
ENSG00000103152	ENST00000397817	16	1	127018	135839	MPG	protein_coding
ENSG00000103152	ENST00000356432	16	1	128062	135852	MPG	protein_coding
ENSG00000103152	ENST00000219431	16	1	128256	135841	MPG	protein_coding
ENSG00000103148	ENST00000399951	16	-1	135806	188610	NPRL3	protein_coding
ENSG00000103148	ENST00000399953	16	-1	135806	188669	NPRL3	protein_coding
ENSG00000103148	ENST00000419636	16	-1	162659	188334	NPRL3	protein_coding
ENSG00000130656	ENST00000252951	16	1	202686	204502	HBZ	protein_coding
ENSG00000206177	ENST00000356815	16	1	215977	216767	HBM	protein_coding
ENSG00000188536	ENST00000251595	16	1	222846	223709	HBA2	protein_coding
ENSG00000188536	ENST00000397806	16	1	222889	223709	HBA2	protein_coding
ENSG00000206172	ENST00000320868	16	1	226679	227521	HBA1	protein_coding
ENSG00000206172	ENST00000397797	16	1	226703	227521	HBA1	protein_coding
ENSG00000086506	ENST00000199708	16	1	230452	231180	HBQ1	protein_coding
ENSG00000007392	ENST00000293872	16	-1	238968	279449	LUC7L	protein_coding
ENSG00000007392	ENST00000337351	16	-1	238968	279462	LUC7L	protein_coding
ENSG00000007392	ENST00000397783	16	-1	238970	279462	LUC7L	protein_coding
ENSG00000007392	ENST00000429378	16	-1	238989	256086	LUC7L	protein_coding
ENSG00000007392	ENST00000442701	16	-1	239114	240548	LUC7L	protein_coding
ENSG00000007392	ENST00000397780	16	-1	239895	277685	LUC7L	protein_coding
ENSG00000007392	ENST00000430864	16	-1	240540	279421	LUC7L	protein_coding
ENSG00000007392	ENST00000443357	16	-1	256003	277655	LUC7L	protein_coding
ENSG00000007392	ENST00000428363	16	-1	270648	278721	LUC7L	protein_coding
ENSG00000167930	ENST00000399932	16	1	284545	316124	ITFG3	protein_coding
ENSG00000167930	ENST00000301679	16	1	284801	318970	ITFG3	protein_coding
ENSG00000167930	ENST00000419173	16	1	284817	309520	ITFG3	protein_coding
ENSG00000167930	ENST00000426695	16	1	284826	304564	ITFG3	protein_coding
ENSG00000167930	ENST00000438220	16	1	284828	310002	ITFG3	protein_coding
ENSG00000167930	ENST00000447499	16	1	284829	304673	ITFG3	protein_coding
ENSG00000167930	ENST00000453430	16	1	284833	311513	ITFG3	protein_coding
ENSG00000167930	ENST00000442458	16	1	284834	319942	ITFG3	protein_coding
ENSG00000167930	ENST00000449945	16	1	284837	312138	ITFG3	protein_coding
ENSG00000167930	ENST00000420046	16	1	284843	311504	ITFG3	protein_coding
ENSG00000167930	ENST00000301678	16	1	284845	316119	ITFG3	protein_coding
ENSG00000167930	ENST00000450082	16	1	284845	318852	ITFG3	protein_coding
ENSG00000167930	ENST00000420500	16	1	284846	310008	ITFG3	protein_coding
ENSG00000167930	ENST00000417499	16	1	290187	304618	ITFG3	protein_coding
ENSG00000269881	ENST00000600536	16	1	299546	319942	ITFG3	protein_coding
ENSG00000167930	ENST00000421000	16	1	304627	310787	ITFG3	protein_coding
ENSG00000167930	ENST00000424016	16	1	312507	315089	ITFG3	protein_coding
ENSG00000076344	ENST00000397770	16	-1	318300	325929	RGS11	protein_coding
ENSG00000076344	ENST00000316163	16	-1	318310	325914	RGS11	protein_coding
ENSG00000242173	ENST00000412541	16	1	318726	332084	ARHGDIG	protein_coding
ENSG00000242173	ENST00000435035	16	1	318726	332084	ARHGDIG	protein_coding
ENSG00000076344	ENST00000359740	16	-1	319268	325911	RGS11	protein_coding
ENSG00000076344	ENST00000397768	16	-1	322259	325937	RGS11	protein_coding
ENSG00000076344	ENST00000431291	16	-1	324404	325915	RGS11	protein_coding
ENSG00000242173	ENST00000447871	16	1	330450	332688	ARHGDIG	protein_coding
ENSG00000242173	ENST00000219409	16	1	330606	333003	ARHGDIG	protein_coding
ENSG00000242173	ENST00000414650	16	1	330855	332810	ARHGDIG	protein_coding
ENSG00000185615	ENST00000219406	16	1	333152	337215	PDIA2	protein_coding
ENSG00000185615	ENST00000404312	16	1	333165	337114	PDIA2	protein_coding
ENSG00000185615	ENST00000456379	16	1	333180	335140	PDIA2	protein_coding
ENSG00000185615	ENST00000435833	16	1	335680	337215	PDIA2	protein_coding
ENSG00000103126	ENST00000262320	16	-1	337440	402659	AXIN1	protein_coding
ENSG00000103126	ENST00000354866	16	-1	337441	402449	AXIN1	protein_coding
ENSG00000103126	ENST00000457798	16	-1	338190	343536	AXIN1	protein_coding
ENSG00000086504	ENST00000199706	16	-1	417384	420527	MRPL28	protein_coding
ENSG00000086504	ENST00000429738	16	-1	417396	419803	MRPL28	protein_coding
ENSG00000086504	ENST00000389675	16	-1	417613	420509	MRPL28	protein_coding
ENSG00000086504	ENST00000441883	16	-1	417724	420432	MRPL28	protein_coding
ENSG00000086504	ENST00000447696	16	-1	418335	420502	MRPL28	protein_coding
ENSG00000086504	ENST00000450882	16	-1	418408	420338	MRPL28	protein_coding
ENSG00000129925	ENST00000431232	16	-1	420773	431982	TMEM8A	protein_coding
ENSG00000129925	ENST00000424078	16	-1	421862	424851	TMEM8A	protein_coding
ENSG00000129925	ENST00000250930	16	-1	421864	431978	TMEM8A	protein_coding
ENSG00000129925	ENST00000448854	16	-1	422416	425215	TMEM8A	protein_coding
ENSG00000129925	ENST00000427313	16	-1	426806	436999	TMEM8A	protein_coding
ENSG00000103202	ENST00000397722	16	1	446725	450746	NME4	protein_coding
ENSG00000103202	ENST00000454619	16	1	446769	449474	NME4	protein_coding
ENSG00000103202	ENST00000382940	16	1	447209	450506	NME4	protein_coding
ENSG00000103202	ENST00000219479	16	1	447209	450759	NME4	protein_coding
ENSG00000103202	ENST00000433358	16	1	447237	450648	NME4	protein_coding
ENSG00000103202	ENST00000450036	16	1	447742	450416	NME4	protein_coding
ENSG00000242612	ENST00000219481	16	1	451826	462487	DECR2	protein_coding
ENSG00000242612	ENST00000397710	16	1	451858	460354	DECR2	protein_coding
ENSG00000242612	ENST00000424398	16	1	451882	461976	DECR2	protein_coding
ENSG00000090565	ENST00000262305	16	1	475619	573011	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000457159	16	1	475668	572478	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000434585	16	1	476379	572355	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000450428	16	1	524850	572478	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000452814	16	1	524869	555605	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000449879	16	1	524924	553063	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000412256	16	1	532657	547448	RAB11FIP3	protein_coding
