ENSMUSG00000024831	ENSMUST00000119292	19	-1	3310924	3332979	Ighmbp2	protein_coding
ENSMUSG00000024829	ENSMUST00000025745	19	1	3332901	3342837	Mrpl21	protein_coding
ENSMUSG00000024829	ENSMUST00000025743	19	1	3333060	3341201	Mrpl21	protein_coding
ENSMUSG00000024900	ENSMUST00000237938	19	1	3372334	3420748	Cpt1a	protein_coding
ENSMUSG00000024900	ENSMUST00000025835	19	1	3373285	3435733	Cpt1a	protein_coding
ENSMUSG00000024900	ENSMUST00000237562	19	1	3383725	3408277	Cpt1a	protein_coding
ENSMUSG00000024900	ENSMUST00000238015	19	1	3391627	3414538	Cpt1a	protein_coding
ENSMUSG00000024905	ENSMUST00000025840	19	1	3438857	3457823	Tesmin	protein_coding
ENSMUSG00000024905	ENSMUST00000151341	19	1	3438885	3448172	Tesmin	protein_coding
ENSMUSG00000024905	ENSMUST00000127142	19	1	3439379	3457289	Tesmin	protein_coding
ENSMUSG00000024905	ENSMUST00000142193	19	1	3439379	3457785	Tesmin	protein_coding
ENSMUSG00000024907	ENSMUST00000237521	19	-1	3459915	3464544	Gal	protein_coding
ENSMUSG00000024907	ENSMUST00000025842	19	-1	3459932	3464447	Gal	protein_coding
ENSMUSG00000024908	ENSMUST00000025846	19	-1	3504928	3625720	Ppp6r3	protein_coding
ENSMUSG00000024908	ENSMUST00000172362	19	-1	3504933	3625716	Ppp6r3	protein_coding
ENSMUSG00000024908	ENSMUST00000113997	19	-1	3504933	3625749	Ppp6r3	protein_coding
ENSMUSG00000024908	ENSMUST00000225475	19	-1	3506734	3521005	Ppp6r3	protein_coding
ENSMUSG00000024908	ENSMUST00000225624	19	-1	3516534	3534852	Ppp6r3	protein_coding
ENSMUSG00000024908	ENSMUST00000226109	19	-1	3576761	3625722	Ppp6r3	protein_coding
ENSMUSG00000024913	ENSMUST00000025856	19	-1	3634828	3736556	Lrp5	protein_coding
ENSMUSG00000024913	ENSMUST00000176867	19	-1	3671671	3736564	Lrp5	protein_coding
ENSMUSG00000035372	ENSMUST00000237320	19	1	3758293	3766734	1810055G02Rik	protein_coding
ENSMUSG00000035372	ENSMUST00000039048	19	1	3758333	3767881	1810055G02Rik	protein_coding
ENSMUSG00000035372	ENSMUST00000235295	19	1	3758347	3767878	1810055G02Rik	protein_coding
ENSMUSG00000035372	ENSMUST00000237955	19	1	3758371	3767873	1810055G02Rik	protein_coding
ENSMUSG00000035372	ENSMUST00000235837	19	1	3758411	3767880	1810055G02Rik	protein_coding
ENSMUSG00000045098	ENSMUST00000052699	19	1	3817421	3858829	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000113974	19	1	3817421	3866391	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000113972	19	1	3817421	3866391	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000113973	19	1	3817421	3868302	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000113977	19	1	3817421	3868303	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000113968	19	1	3817523	3856324	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000113970	19	1	3818033	3858835	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000005518	19	1	3818118	3855057	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000237440	19	1	3818146	3855463	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000152935	19	1	3818149	3854502	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000176262	19	1	3818166	3866688	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000176407	19	1	3818169	3843167	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000176926	19	1	3818218	3858807	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000176512	19	1	3818233	3843185	Kmt5b	protein_coding
ENSMUSG00000045098	ENSMUST00000177355	19	1	3818547	3846660	Kmt5b	protein_coding
ENSMUSG00000024843	ENSMUST00000072055	19	1	3901797	3944369	Chka	protein_coding
ENSMUSG00000024843	ENSMUST00000025760	19	1	3902076	3944364	Chka	protein_coding
ENSMUSG00000024843	ENSMUST00000125640	19	1	3902363	3937450	Chka	protein_coding
ENSMUSG00000001750	ENSMUST00000145791	19	-1	3946050	3955230	Tcirg1	protein_coding
ENSMUSG00000001750	ENSMUST00000126070	19	-1	3946050	3956991	Tcirg1	protein_coding
ENSMUSG00000001750	ENSMUST00000001801	19	-1	3946050	3957133	Tcirg1	protein_coding
ENSMUSG00000001750	ENSMUST00000236590	19	-1	3954217	3956240	Tcirg1	protein_coding
ENSMUSG00000059734	ENSMUST00000236801	19	-1	3958863	3962488	Ndufs8	protein_coding
ENSMUSG00000059734	ENSMUST00000075092	19	-1	3958867	3962734	Ndufs8	protein_coding
ENSMUSG00000059734	ENSMUST00000237341	19	-1	3958867	3962774	Ndufs8	protein_coding
ENSMUSG00000059734	ENSMUST00000235847	19	-1	3958870	3962734	Ndufs8	protein_coding
ENSMUSG00000059734	ENSMUST00000235301	19	-1	3960928	3962768	Ndufs8	protein_coding
ENSMUSG00000024885	ENSMUST00000051803	19	-1	3963491	3979808	Aldh3b1	protein_coding
ENSMUSG00000036908	ENSMUST00000165711	19	1	3985186	3999339	Unc93b1	protein_coding
ENSMUSG00000036908	ENSMUST00000162708	19	1	3985186	3999340	Unc93b1	protein_coding
ENSMUSG00000036908	ENSMUST00000236920	19	1	3985286	3991933	Unc93b1	protein_coding
ENSMUSG00000036908	ENSMUST00000237030	19	1	3991537	3997112	Unc93b1	protein_coding
ENSMUSG00000037263	ENSMUST00000179433	19	1	4008645	4022103	Aldh3b3	protein_coding
ENSMUSG00000037263	ENSMUST00000025794	19	1	4015900	4020438	Aldh3b3	protein_coding
